City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
82,acarau,-2.8856,-40.12,26.51,83,44,3.94,BR,1683839607
83,inyonga,-6.7167,32.0667,18.19,85,65,1.3,TZ,1683839607
84,margaret river,-33.95,115.0667,10.59,73,75,4.22,AU,1683839607
85,northam,51.0333,-4.2167,9.78,91,12,1.18,GB,1683839608
86,nueva gerona,21.8833,-82.8,30.15,59,100,5.04,CU,1683839608
87,kerikeri,-35.2268,173.9474,11.62,96,24,1.61,NZ,1683839609
88,broken hill,-31.95,141.4333,9.36,63,38,1.43,AU,1683839609
89,manggar,-2.8833,108.2667,28.08,81,33,3.95,ID,1683839362
90,aasiaat,68.7098,-52.8699,-2.04,76,100,3.27,GL,1683839610
91,vila franca do campo,37.7167,-25.4333,17.23,92,83,1.34,PT,1683839097
92,chegdomyn,51.1167,133.0167,8.3,58,6,0.67,RU,1683839610
93,uturoa,-16.7333,-151.4333,25.95,83,100,8.36,PF,1683839611
94,airuk,7.2772,168.8203,28.21,83,100,8.02,MH,1683839611
95,aginskoye,51.1,114.53,4.56,42,61,7.01,RU,1683839611
96,soio,-6.1349,12.3689,26.92,88,23,2.91,AO,1683839612
97,tazacorte,28.629,-17.9293,20.54,91,100,8.23,ES,1683839612
98,qarazhal,48.0078,70.7903,18.84,32,100,2.69,KZ,1683839612
99,afaahiti,-17.75,-149.2833,26.93,94,100,10.17,PF,1683839613
100,west island,-12.1568,96.8225,28.99,79,75,5.66,CC,1683839597
101,petropavlovsk-kamchatsky,53.0452,158.6483,1.33,87,75,1.0,RU,1683839421
102,sovetsk,55.0839,21.8785,9.86,69,56,2.71,RU,1683839613
103,isafjordur,66.0755,-23.124,7.42,91,100,4.34,IS,1683839614
104,kapa'a,22.0752,-159.319,26.99,71,75,5.14,US,1683839392
105,gonaives,19.45,-72.6833,28.97,68,58,3.6,HT,1683839619
106,funadhoo,6.15,73.2667,27.66,84,100,7.22,MV,1683839619
107,quepos,9.4236,-84.1652,30.26,69,65,1.67,CR,1683839511
108,bardai,11.65,7.2333,29.19,38,68,1.17,NG,1683839620
109,wau,7.7029,27.9953,27.66,55,75,1.74,SS,1683839620
110,shiyan,32.6475,110.7781,14.26,83,75,2.17,CN,1683839620
111,tura,25.5198,90.2201,22.62,69,34,1.15,IN,1683839621
112,fale old settlement,-9.3852,-171.2468,28.68,78,100,6.27,TK,1683839621
113,hamilton,39.1834,-84.5333,29.44,38,40,3.6,US,1683839059
114,vilyuchinsk,52.9306,158.4028,2.15,93,99,0.33,RU,1683839621
115,ketchikan,55.3422,-131.6461,14.11,46,99,3.48,US,1683839008
116,banes,20.9625,-75.7186,28.83,63,22,5.19,CU,1683839622
117,igarka,67.4667,86.5833,-15.22,87,11,7.86,RU,1683839622
118,kapuskasing,49.4169,-82.4331,19.28,63,100,3.12,CA,1683839622
119,masingbi,8.7833,-11.95,26.62,73,53,2.84,SL,1683839623
120,yellowknife,62.456,-114.3525,19.2,34,1,7.6,CA,1683839623
121,st. john's,47.5649,-52.7093,10.38,45,13,1.34,CA,1683839503
122,obock,12.25,43.0833,24.96,73,35,2.95,DJ,1683839624
123,tolanaro,-25.0319,46.9987,22.58,91,100,4.59,MG,1683839624
124,jamestown,42.097,-79.2353,23.8,33,0,4.12,US,1683839474
125,qaqortoq,60.7167,-46.0333,3.76,77,100,1.46,GL,1683839624
126,labuan,5.2767,115.2417,27.71,79,84,1.78,MY,1683839556
127,caxito,-8.5785,13.6643,23.93,97,87,0.35,AO,1683839625
128,geraldton,-28.7667,114.6,13.23,54,21,5.66,AU,1683839625
129,manicore,-5.8092,-61.3003,24.41,96,100,0.26,BR,1683839625
130,amursk,50.2261,136.8994,7.25,57,1,1.14,RU,1683839627
131,namibe,-15.1961,12.1522,23.22,74,4,2.74,AO,1683839629
132,keflavik,64.0049,-22.5624,8.24,100,100,10.29,IS,1683839629
133,moraleja,40.0162,-6.6977,19.25,37,0,3.82,ES,1683839629
134,inarajan village,13.2736,144.7484,28.55,96,17,2.73,GU,1683839630
135,tamanrasset,22.785,5.5228,26.95,13,0,5.66,DZ,1683839630
136,houma,29.5958,-90.7195,31.0,75,75,6.17,US,1683839400
137,contai,21.7786,87.7536,28.08,82,100,3.57,IN,1683839631
138,stanley,54.868,-1.6985,10.29,91,20,2.06,GB,1683839596
139,pangody,65.85,74.4859,-15.31,96,72,2.82,RU,1683839631
140,bousso,10.4795,16.7117,32.57,37,46,2.79,TD,1683839631
141,sirte,31.2089,16.5887,18.27,84,0,2.45,LY,1683839632
142,enewetak,11.3474,162.3373,27.52,84,78,6.66,MH,1683839632
143,labrador city,52.9463,-66.9114,12.91,31,14,3.98,CA,1683839409
144,yerofey pavlovich,53.9667,121.9667,7.47,86,100,2.98,RU,1683839632
145,saipan,15.1355,145.701,28.39,100,75,3.58,MP,1683839633
146,kone,-21.0595,164.8658,23.1,71,100,2.37,NC,1683839633
147,susuman,62.7833,148.1667,1.16,82,80,0.43,RU,1683839633
148,road town,18.4167,-64.6167,27.27,71,81,5.6,VG,1683839397
149,koryazhma,61.3143,47.1691,9.41,93,100,1.21,RU,1683839346
150,constantia,44.1833,28.65,8.38,71,20,4.28,RO,1683839453
151,bilibino,68.0546,166.4372,-0.01,82,100,1.6,RU,1683839634
152,vigan,17.5747,120.3869,26.55,78,71,1.84,PH,1683839635
153,thinadhoo,0.5333,72.9333,28.12,80,86,6.28,MV,1683839635
154,port mathurin,-19.6833,63.4167,25.48,75,73,9.18,MU,1683839635
155,port douglas,-16.4833,145.4667,23.15,86,100,5.67,AU,1683839635
156,san patricio,28.017,-97.5169,32.31,62,54,6.6,US,1683839636
